tag,example_inputs_en,example_inputs_es,possible_responses_en,possible_responses_es
accounting,How do I contact Accounting? | What does the Accounting do? | Accounting hours,¿Cómo me comunico con Accounting? | ¿Qué hace el Accounting? | ¿Cuál es el horario de atención del Accounting?,You can contact Accounting at... | The Accounting is responsible for... | Here are the office hours for Accounting...,Puede comunicarse con Accounting en... | El Accounting es responsable de... | El horario de atención del Accounting es...
sessions_civil_court,How do I contact Sessions Civil Court? | What does the Sessions Civil Court do? | Sessions Civil Court hours,¿Cómo me comunico con Sessions Civil Court? | ¿Qué hace el Sessions Civil Court? | ¿Cuál es el horario de atención del Sessions Civil Court?,You can contact Sessions Civil Court at... | The Sessions Civil Court is responsible for... | Here are the office hours for Sessions Civil Court...,Puede comunicarse con Sessions Civil Court en... | El Sessions Civil Court es responsable de... | El horario de atención del Sessions Civil Court es...
sessions_court_judges_office,How do I contact Sessions Court Judges Office? | What does the Sessions Court Judges Office do? | Sessions Court Judges Office hours,¿Cómo me comunico con Sessions Court Judges Office? | ¿Qué hace el Sessions Court Judges Office? | ¿Cuál es el horario de atención del Sessions Court Judges Office?,You can contact Sessions Court Judges Office at... | The Sessions Court Judges Office is responsible for... | Here are the office hours for Sessions Court Judges Office...,Puede comunicarse con Sessions Court Judges Office en... | El Sessions Court Judges Office es responsable de... | El horario de atención del Sessions Court Judges Office es...
sheriff,How do I contact Sheriff? | What does the Sheriff do? | Sheriff hours,¿Cómo me comunico con Sheriff? | ¿Qué hace el Sheriff? | ¿Cuál es el horario de atención del Sheriff?,You can contact Sheriff at... | The Sheriff is responsible for... | Here are the office hours for Sheriff...,Puede comunicarse con Sheriff en... | El Sheriff es responsable de... | El horario de atención del Sheriff es...
soil_and_water_conservation_district,How do I contact Soil and Water Conservation District? | What does the Soil and Water Conservation District do? | Soil and Water Conservation District hours,¿Cómo me comunico con Soil And Water Conservation District? | ¿Qué hace el Soil And Water Conservation District? | ¿Cuál es el horario de atención del Soil And Water Conservation District?,You can contact Soil and Water Conservation District at... | The Soil and Water Conservation District is responsible for... | Here are the office hours for Soil and Water Conservation District...,Puede comunicarse con Soil And Water Conservation District en... | El Soil And Water Conservation District es responsable de... | El horario de atención del Soil And Water Conservation District es...
support_services,How do I contact Support Services? | What does the Support Services do? | Support Services hours,¿Cómo me comunico con Support Services? | ¿Qué hace el Support Services? | ¿Cuál es el horario de atención del Support Services?,You can contact Support Services at... | The Support Services is responsible for... | Here are the office hours for Support Services...,Puede comunicarse con Support Services en... | El Support Services es responsable de... | El horario de atención del Support Services es...
telecommunication_department,How do I contact Telecommunication Department? | What does the Telecommunication Department do? | Telecommunication Department hours,¿Cómo me comunico con Telecommunication Department? | ¿Qué hace el Telecommunication Department? | ¿Cuál es el horario de atención del Telecommunication Department?,You can contact Telecommunication Department at... | The Telecommunication Department is responsible for... | Here are the office hours for Telecommunication Department...,Puede comunicarse con Telecommunication Department en... | El Telecommunication Department es responsable de... | El horario de atención del Telecommunication Department es...
title_vi_department,How do I contact Title VI Department? | What does the Title VI Department do? | Title VI Department hours,¿Cómo me comunico con Title Vi Department? | ¿Qué hace el Title Vi Department? | ¿Cuál es el horario de atención del Title Vi Department?,You can contact Title VI Department at... | The Title VI Department is responsible for... | Here are the office hours for Title VI Department...,Puede comunicarse con Title Vi Department en... | El Title Vi Department es responsable de... | El horario de atención del Title Vi Department es...
tennessee_riverpark,How do I contact Tennessee Riverpark? | What does the Tennessee Riverpark do? | Tennessee Riverpark hours,¿Cómo me comunico con Tennessee Riverpark? | ¿Qué hace el Tennessee Riverpark? | ¿Cuál es el horario de atención del Tennessee Riverpark?,You can contact Tennessee Riverpark at... | The Tennessee Riverpark is responsible for... | Here are the office hours for Tennessee Riverpark...,Puede comunicarse con Tennessee Riverpark en... | El Tennessee Riverpark es responsable de... | El horario de atención del Tennessee Riverpark es...
trustee,How do I contact Trustee? | What does the Trustee do? | Trustee hours,¿Cómo me comunico con Trustee? | ¿Qué hace el Trustee? | ¿Cuál es el horario de atención del Trustee?,You can contact Trustee at... | The Trustee is responsible for... | Here are the office hours for Trustee...,Puede comunicarse con Trustee en... | El Trustee es responsable de... | El horario de atención del Trustee es...
veteran_services_office,How do I contact Veteran Services Office? | What does the Veteran Services Office do? | Veteran Services Office hours,¿Cómo me comunico con Veteran Services Office? | ¿Qué hace el Veteran Services Office? | ¿Cuál es el horario de atención del Veteran Services Office?,You can contact Veteran Services Office at... | The Veteran Services Office is responsible for... | Here are the office hours for Veteran Services Office...,Puede comunicarse con Veteran Services Office en... | El Veteran Services Office es responsable de... | El horario de atención del Veteran Services Office es...
water_quality_department,How do I contact Water Quality Department? | What does the Water Quality Department do? | Water Quality Department hours,¿Cómo me comunico con Water Quality Department? | ¿Qué hace el Water Quality Department? | ¿Cuál es el horario de atención del Water Quality Department?,You can contact Water Quality Department at... | The Water Quality Department is responsible for... | Here are the office hours for Water Quality Department...,Puede comunicarse con Water Quality Department en... | El Water Quality Department es responsable de... | El horario de atención del Water Quality Department es...
water_and_wastewater_treatment_authority_(wwta),How do I contact Water And Wastewater Treatment Authority (WWTA)? | What does the Water And Wastewater Treatment Authority (WWTA) do? | Water And Wastewater Treatment Authority (WWTA) hours,¿Cómo me comunico con Water And Wastewater Treatment Authority (Wwta)? | ¿Qué hace el Water And Wastewater Treatment Authority (Wwta)? | ¿Cuál es el horario de atención del Water And Wastewater Treatment Authority (Wwta)?,You can contact Water And Wastewater Treatment Authority (WWTA) at... | The Water And Wastewater Treatment Authority (WWTA) is responsible for... | Here are the office hours for Water And Wastewater Treatment Authority (WWTA)...,Puede comunicarse con Water And Wastewater Treatment Authority (Wwta) en... | El Water And Wastewater Treatment Authority (Wwta) es responsable de... | El horario de atención del Water And Wastewater Treatment Authority (Wwta) es...
